,price,condition,num_reviews,pos_feedback_pct,return_days,model,capacity,release_year
6036,21.25,6.0,1569.0,96.0,3.0,14,177.84242424242424,2018
6038,989.0,4.0,8382.0,99.5,3.0,17,128.0,2021
6039,9.99,6.0,310.0,98.0,3.0,14,177.84242424242424,2018
6040,25.16,6.0,1600.0,97.2,3.0,11,92.72343149807938,2017
6041,37.99,1.0,1064.0,100.0,2.0,6,16.0,2013
6043,165.0,1.0,109.0,100.0,0.0,7,16.0,2014
6044,900.0,6.0,8.0,100.0,0.0,17,128.0,2021
6045,158.99,1.0,103305.0,99.3,2.0,10,32.0,2016
6046,75.99,2.0,54737.0,99.4,3.0,7,16.0,2014
6047,600.0,1.0,449.0,99.3,2.0,15,64.0,2019
6048,124.99,1.0,6327.0,99.1,2.0,11,64.0,2017
6049,202.88,6.0,168.0,97.1,2.0,8,64.0,2015
6050,21.99,6.0,615.0,98.2,2.0,15,124.43806104129264,2019
6051,530.99,4.0,54737.0,99.4,3.0,16,128.0,2020
6052,199.66,6.0,56.0,100.0,2.0,8,64.0,2015
6054,25.0,0.0,846.0,96.5,0.0,7,16.0,2014
6055,393.0,1.0,21989.0,99.8,3.0,15,64.0,2019
6056,169.99,1.0,3179.0,99.3,2.0,8,16.0,2015
6057,24.99,0.0,33369.0,98.8,2.0,7,64.0,2014
6058,593.0,1.0,80245.0,99.7,2.0,15,512.0,2019
6059,312.69,6.0,86.0,95.9,2.0,11,64.0,2017
6060,219.66,6.0,56.0,100.0,2.0,8,64.0,2015
6061,239.59,6.0,190.0,98.6,2.0,8,64.0,2015
6062,368.66,6.0,56.0,100.0,2.0,11,256.0,2017
6063,199.99,1.0,1254.0,95.5,2.0,11,64.0,2017
6064,224.0,1.0,904.0,100.0,0.0,9,64.0,2016
6065,119.99,1.0,3465.0,100.0,2.0,10,128.0,2016
6066,16.99,6.0,485.0,98.9,3.0,14,177.84242424242424,2018
6067,387.99,4.0,54737.0,99.4,3.0,14,256.0,2018
6068,61.0,1.0,21989.0,99.8,3.0,9,32.0,2016
6069,199.0,1.0,29.0,100.0,0.0,7,64.0,2014
6070,75.0,0.0,807.0,100.0,0.0,10,78.54110612855007,2016
6071,300.0,1.0,719.0,100.0,2.0,10,78.54110612855007,2016
6072,1.0,6.0,15.0,100.0,2.0,16,256.0,2020
6073,7.99,0.0,5251.0,98.4,0.0,5,13.44,2013
6074,59.99,1.0,793.0,100.0,0.0,6,16.0,2013
6075,26.26,6.0,75.0,100.0,2.0,13,89.74946921443737,2018
6076,19.97,6.0,1600.0,97.2,3.0,12,140.52173913043478,2017
6077,23.21,6.0,1600.0,97.2,3.0,7,35.82608695652174,2014
6078,23.75,0.0,1938.0,99.4,2.0,7,16.0,2014
6079,9.99,6.0,485.0,98.9,3.0,16,138.7663551401869,2020
6080,155.0,0.0,889.0,94.8,2.0,13,64.0,2018
6081,69.99,2.0,27605.0,96.8,3.0,7,16.0,2014
6082,23.83,6.0,1569.0,96.0,3.0,7,35.82608695652174,2014
6083,30.0,1.0,86.0,100.0,0.0,4,16.0,2012
6084,369.99,1.0,7053.0,99.9,2.0,15,64.0,2019
6087,55.0,1.0,541.0,99.0,0.0,7,16.0,2014
6089,140.0,0.0,7410.0,98.5,0.0,11,92.72343149807938,2017
6090,21.19,6.0,75.0,100.0,2.0,13,89.74946921443737,2018
6091,327.24,2.0,1938.0,99.4,2.0,13,256.0,2018
6092,187.02,1.0,6199.0,99.7,2.0,13,64.0,2018
6093,132.0,1.0,5147.0,99.3,2.0,11,64.0,2017
6094,671.4,1.0,1347.0,100.0,2.0,17,256.0,2021
6095,289.08,1.0,6199.0,99.7,2.0,14,256.0,2018
6096,111.0,2.0,21989.0,99.8,3.0,10,128.0,2016
6097,1.0,1.0,2840.0,100.0,2.0,17,256.0,2021
6098,900.0,6.0,8.0,100.0,0.0,17,128.0,2021
6099,34.95,1.0,1584.0,100.0,2.0,4,32.0,2012
